,Latitude,Longitude,Infected,Population,Species,Road,River,1km,3km,5km,10km
0,15.23531,120.914702,0.0,40000,0,12.57165732,8.197453244,0.0,1.0,2.0,27.0
1,15.613217,121.118455,0.0,10000,0,14.76638892,446.2200256,4.0,0.0,0.0,10.0
2,15.614068,121.118123,0.0,45000,0,14.31586097,429.829322,4.0,0.0,0.0,10.0
3,15.464735,121.050498,0.0,40000,0,28.35109155,559.7452781,3.0,0.0,16.0,38.0
4,15.680797,120.85099,0.0,76000,0,3.957603626,98.39170523,0.0,1.0,2.0,17.0
5,15.26884,121.036778,0.0,92000,0,1.533577377,891.8903819,2.0,7.0,6.0,26.0
6,15.668717,120.98335,0.0,36000,0,3.251423573,320.5208151,0.0,0.0,1.0,16.0
7,15.877047,120.931243,0.0,12000,0,39.28533751,1.720640345,0.0,5.0,0.0,2.0
8,15.669125,120.77047,0.0,8000,0,56.7504173,73.74765901,0.0,0.0,0.0,4.0
9,15.835423,120.70859,0.0,20000,0,0.06455994,881.0845577,0.0,4.0,2.0,6.0
10,15.300423,120.988665,0.0,38000,0,41.43270235,314.6525677,1.0,4.0,8.0,50.0
11,15.513708,120.973808,0.0,76000,0,13.6266251,595.2266664,0.0,2.0,3.0,24.0
12,15.206492,120.821952,0.0,105000,0,4.360658868,831.8759044,0.0,9.0,0.0,15.0
13,15.213695,120.812218,0.0,76000,0,5.075386086,904.1890849,3.0,5.0,1.0,17.0
14,15.486068,121.00492,0.0,40000,0,0.810187759,128.2605096,1.0,2.0,6.0,28.0
15,15.685932,120.933568,0.0,18000,0,10.33791695,176.4941798,1.0,6.0,3.0,15.0
16,15.466747,121.048657,0.0,14000,0,9.548201005,322.3561751,2.0,1.0,14.0,37.0
17,15.834588,120.858738,0.0,280000,0,1.69164528,169.1766316,0.0,0.0,1.0,12.0
18,15.389918,121.018083,0.0,109461,0,22.38595643,326.4053086,5.0,19.0,13.0,40.0
19,15.75545,121.005142,0.0,38000,0,159.021986,570.1452345,0.0,1.0,1.0,18.0
20,15.869532,120.923985,0.0,140000,0,0.805139871,296.7422749,0.0,3.0,2.0,2.0
21,15.75253,120.709062,0.0,70000,0,5.823366387,1230.337522,0.0,1.0,1.0,12.0
22,15.310068,120.997005,0.0,80000,0,6.700265446,433.4209247,2.0,4.0,8.0,58.0
23,15.744595,120.73089,0.0,140000,0,31.07975987,248.2348573,0.0,1.0,1.0,10.0
24,15.382932,121.048988,0.0,37000,0,130.2239468,1002.999036,1.0,17.0,23.0,32.0
25,15.297225,120.881392,1.0,75000,0,2.895309697,590.2246788,1.0,5.0,9.0,15.0
26,15.294618,120.880795,0.0,6000,0,30.42555323,657.6339064,1.0,4.0,11.0,16.0
27,15.711928,120.94074,0.0,81000,0,35.73160132,128.5525657,2.0,6.0,2.0,13.0
28,15.387062,121.018975,0.0,22000,0,2.967636554,597.9109752,4.0,20.0,14.0,40.0
29,15.721175,121.048943,0.0,102000,0,8.024818735,798.9455642,0.0,1.0,2.0,11.0
30,15.756973,121.05397,0.0,38000,0,3.278978679,320.5964784,0.0,4.0,3.0,6.0
31,15.69071,120.933608,0.0,36000,0,35.47946406,119.7312692,2.0,5.0,2.0,16.0
32,15.433163,120.85506,0.0,38000,0,3.682848054,488.5971567,4.0,0.0,2.0,8.0
33,15.513132,121.063852,0.0,22000,0,4.78219166,524.3415088,2.0,8.0,4.0,16.0
34,15.41609,121.059067,0.0,20000,0,5.239858131,771.7025775,1.0,7.0,14.0,45.0
35,15.418583,121.06674,0.0,36000,0,8.288471985,740.1423225,2.0,5.0,12.0,45.0
36,15.386603,121.043438,0.0,2500,0,10.94808085,425.7995687,2.0,18.0,23.0,30.0
37,15.822938,120.720032,0.0,288000,0,89.95114256,726.5105009,0.0,3.0,5.0,6.0
38,15.366627,120.966662,0.0,80000,0,7.996668545,526.8615285,3.0,5.0,7.0,45.0
39,15.37016,121.007318,0.0,70000,0,97.47558484,195.5244919,1.0,18.0,22.0,34.0
40,15.739883,121.09904,0.0,19000,0,0.216031578,274.6265539,0.0,0.0,3.0,6.0
41,15.81811,120.65472,0.0,216000,0,0.672181983,1444.770198,1.0,2.0,2.0,10.0
42,15.5446,121.100835,0.0,4500,0,4.183571524,1066.279592,0.0,3.0,2.0,20.0
43,15.50776,121.051697,0.0,38000,0,5.681402654,244.281345,4.0,6.0,6.0,18.0
44,15.74417,121.067432,0.0,10000,0,52.41942443,870.8811888,0.0,3.0,5.0,3.0
45,15.40259,121.024277,0.0,45000,0,21.15666448,218.7250228,1.0,17.0,17.0,36.0
46,15.454663,121.017553,0.0,76000,0,4.601037853,678.4931184,2.0,0.0,9.0,53.0
47,15.765515,120.864497,0.0,56000,0,0.894399,1162.912426,0.0,3.0,3.0,12.0
48,15.824147,120.659953,0.0,38000,0,3.790462851,852.0016919,1.0,2.0,2.0,10.0
49,15.302423,120.987717,0.0,240000,0,9.03447491,531.5612211,1.0,4.0,7.0,54.0
50,15.89915,120.917298,0.0,25000,0,1.142735129,692.6502841,1.0,2.0,1.0,2.0
51,15.546267,120.77793,0.0,18000,0,7.508150348,956.1271346,4.0,1.0,3.0,3.0
52,15.586962,120.937188,0.0,40000,0,0.425031676,642.9393084,0.0,2.0,3.0,7.0
53,15.288898,120.872695,0.0,35000,0,3.011599245,580.3677954,2.0,6.0,7.0,15.0
54,15.279143,121.038507,0.0,114000,0,7.54155325,1270.45102,0.0,9.0,5.0,28.0
55,15.396718,121.101367,0.0,16000,0,9.244084306,563.1035405,1.0,2.0,5.0,39.0
56,15.451373,120.876058,0.0,50000,0,0.042163237,192.2400976,0.0,1.0,7.0,3.0
57,15.818393,120.698457,0.0,60000,0,21.17319175,1370.499192,2.0,4.0,3.0,4.0
58,15.562355,120.839082,0.0,10000,0,3.196556387,52.36179163,0.0,2.0,2.0,11.0
59,15.302622,120.975755,0.0,35000,0,6.895564138,316.6622058,0.0,5.0,2.0,55.0
60,15.460457,121.051565,0.0,38000,0,10.44475127,396.9162169,3.0,0.0,16.0,42.0
61,15.29352,120.865698,0.0,76000,0,3.730631214,166.6845986,1.0,4.0,8.0,17.0
62,15.512955,121.064172,0.0,20000,0,6.631804925,541.3955658,2.0,8.0,4.0,16.0
63,15.377498,120.97959,0.0,70000,0,18.3596644,28.08824844,3.0,6.0,18.0,40.0
64,15.235893,120.858077,0.0,28000,0,4.750294691,210.7798543,0.0,5.0,6.0,21.0
