Farm_Id,Latitude,Longitude,Infected,Population,Species,Road,River,1km,3km,5km,10km
1,15.23531,120.914702,,40000,0,12.57165732,8.197453244,,,,
2,15.613217,121.118455,,10000,0,14.76638892,446.2200256,,,,
3,15.614068,121.118123,,45000,0,14.31586097,429.829322,,,,
4,15.464735,121.050498,,40000,0,28.35109155,559.7452781,,,,
5,15.680797,120.85099,,76000,0,3.957603626,98.39170523,,,,
6,15.26884,121.036778,,92000,0,1.533577377,891.8903819,,,,
7,15.668717,120.98335,,36000,0,3.251423573,320.5208151,,,,
8,15.877047,120.931243,,12000,0,39.28533751,1.720640345,,,,
9,15.669125,120.77047,,8000,0,56.7504173,73.74765901,,,,
10,15.835423,120.70859,,20000,0,0.06455994,881.0845577,,,,
11,15.300423,120.988665,,38000,0,41.43270235,314.6525677,,,,
12,15.513708,120.973808,,76000,0,13.6266251,595.2266664,,,,
13,15.206492,120.821952,,105000,0,4.360658868,831.8759044,,,,
14,15.213695,120.812218,,76000,0,5.075386086,904.1890849,,,,
15,15.486068,121.00492,,40000,0,0.810187759,128.2605096,,,,
16,15.685932,120.933568,,18000,0,10.33791695,176.4941798,,,,
17,15.466747,121.048657,,14000,0,9.548201005,322.3561751,,,,
18,15.834588,120.858738,,280000,0,1.69164528,169.1766316,,,,
19,15.389918,121.018083,,109461,0,22.38595643,326.4053086,,,,
20,15.75545,121.005142,,38000,0,159.021986,570.1452345,,,,
21,15.869532,120.923985,,140000,0,0.805139871,296.7422749,,,,
22,15.75253,120.709062,,70000,0,5.823366387,1230.337522,,,,
23,15.310068,120.997005,,80000,0,6.700265446,433.4209247,,,,
24,15.744595,120.73089,,140000,0,31.07975987,248.2348573,,,,
25,15.382932,121.048988,,37000,0,130.2239468,1002.999036,,,,
26,15.297225,120.881392,,75000,0,2.895309697,590.2246788,,,,
27,15.294618,120.880795,,6000,0,30.42555323,657.6339064,,,,
28,15.711928,120.94074,,81000,0,35.73160132,128.5525657,,,,
29,15.387062,121.018975,,22000,0,2.967636554,597.9109752,,,,
30,15.721175,121.048943,,102000,0,8.024818735,798.9455642,,,,
31,15.756973,121.05397,,38000,0,3.278978679,320.5964784,,,,
32,15.69071,120.933608,,36000,0,35.47946406,119.7312692,,,,
33,15.433163,120.85506,,38000,0,3.682848054,488.5971567,,,,
34,15.513132,121.063852,,22000,0,4.78219166,524.3415088,,,,
35,15.41609,121.059067,,20000,0,5.239858131,771.7025775,,,,
36,15.418583,121.06674,,36000,0,8.288471985,740.1423225,,,,
37,15.386603,121.043438,,2500,0,10.94808085,425.7995687,,,,
38,15.822938,120.720032,,288000,0,89.95114256,726.5105009,,,,
39,15.366627,120.966662,,80000,0,7.996668545,526.8615285,,,,
40,15.37016,121.007318,,70000,0,97.47558484,195.5244919,,,,
41,15.739883,121.09904,,19000,0,0.216031578,274.6265539,,,,
42,15.81811,120.65472,,216000,0,0.672181983,1444.770198,,,,
43,15.5446,121.100835,,4500,0,4.183571524,1066.279592,,,,
44,15.50776,121.051697,,38000,0,5.681402654,244.281345,,,,
45,15.74417,121.067432,,10000,0,52.41942443,870.8811888,,,,
46,15.40259,121.024277,,45000,0,21.15666448,218.7250228,,,,
47,15.454663,121.017553,,76000,0,4.601037853,678.4931184,,,,
48,15.765515,120.864497,,56000,0,0.894399,1162.912426,,,,
49,15.824147,120.659953,,38000,0,3.790462851,852.0016919,,,,
50,15.302423,120.987717,,240000,0,9.03447491,531.5612211,,,,
51,15.89915,120.917298,,25000,0,1.142735129,692.6502841,,,,
52,15.546267,120.77793,,18000,0,7.508150348,956.1271346,,,,
53,15.586962,120.937188,,40000,0,0.425031676,642.9393084,,,,
54,15.288898,120.872695,,35000,0,3.011599245,580.3677954,,,,
55,15.279143,121.038507,,114000,0,7.54155325,1270.45102,,,,
