,vin,datetime,veh_speed,veh_km,longitude,latitude,trajectory_name
0,wqmbpgahavumajehd,2022-10-11 09:11:33,0.0,98362.8,125.1484370610612,42.89165026317663,0
1,wqmbpgahavumajehd,2022-10-11 09:16:23,28.06,98363.1,125.1471120405969,42.88961373792334,0
2,wqmbpgahavumajehd,2022-10-11 09:16:23,28.06,98363.1,125.1471120405969,42.88961373792334,1
3,wqmbpgahavumajehd,2022-10-11 09:16:33,19.46,98363.2,125.14675274472812,42.89022253220839,1
4,wqmbpgahavumajehd,2022-10-11 09:16:33,19.46,98363.2,125.14675274472812,42.89022253220839,2
5,wqmbpgahavumajehd,2022-10-11 09:17:03,11.92,98363.5,125.14404522013368,42.89030688297626,2
6,wqmbpgahavumajehd,2022-10-11 09:17:03,11.92,98363.5,125.14404522013368,42.89030688297626,3
7,wqmbpgahavumajehd,2022-10-11 09:18:13,18.61,98363.6,125.14417425759464,42.89190523139114,3
8,wqmbpgahavumajehd,2022-10-11 09:18:13,18.61,98363.6,125.14417425759464,42.89190523139114,4
9,wqmbpgahavumajehd,2022-10-11 09:18:43,23.06,98363.9,125.14346715216556,42.89039181514936,4
10,wqmbpgahavumajehd,2022-10-11 09:18:43,23.06,98363.9,125.14346715216556,42.89039181514936,5
11,wqmbpgahavumajehd,2022-10-11 09:19:23,48.37,98364.4,125.1376649352832,42.89212805084357,5
12,wqmbpgahavumajehd,2022-10-11 09:19:53,0.39,98364.7,125.13433749073214,42.894043281832445,5
13,wqmbpgahavumajehd,2022-10-11 09:19:53,0.39,98364.7,125.13433749073214,42.894043281832445,6
14,wqmbpgahavumajehd,2022-10-11 18:47:53,19.35,98365.2,125.13857263526856,42.89176262751618,6
15,wqmbpgahavumajehd,2022-10-11 18:48:53,7.42,98365.6,125.1434042551118,42.89041592126165,6
16,wqmbpgahavumajehd,2022-10-11 18:48:53,7.42,98365.6,125.1434042551118,42.89041592126165,7
17,wqmbpgahavumajehd,2022-10-11 18:49:53,34.31,98366.0,125.14333791646588,42.887516025360206,7
18,wqmbpgahavumajehd,2022-10-11 18:49:53,34.31,98366.0,125.14333791646588,42.887516025360206,8
